# moID,sdss_run,sdss_col,sdss_field,sdss_obj,rowc,colc,mjd,ra,dec,lambda,beta,phi,vmu,vmu_err,vnu,vnu_err,vlambda,vbeta,mag_u,err_u,mag_g,err_g,mag_r,err_r,mag_i,err_i,mag_z,err_z,mag_a,err_a,mag_V,mag_B,ast_flag,ast_num,ast_designation,ast_det_count,ast_det_total,ast_flags,ra_comp,dec_comp,mag_comp,r_helio,r_geo,phase,cat_id,H,G,Arc,Epoch,a,e,i,asc_node,arg_peri,M,PEcat_id,aprime,eprime,sin_iprime
b's05837',1033,2,193,145,1119.9,393.639,51464.24723,345.989136,-0.58705,346.876501,4.985227,-32.582449,-0.1331,0.0037,-0.0321,0.0045,-0.1357,0.022,21.67,0.23,19.75,0.03,19.2,0.02,18.978447,0.03,18.740028,0.05,0.023003949,0.03,19.42,20.19,1,11868,b'1989_TY',1,2,0,345.989128,-0.58696,18.85,3.111,2.226,10.04,b'ASTORB_20041008',14.0,0.15,5468.0,53300.5,2.98035063,0.13074187,9.205949,333.513504,269.744537,90.831692,b'ASTDYS_N_20041008',2.97722,0.1521,0.1777
b's05805',1033,2,202,244,1020.51,1435.1,51464.25093,347.325571,-0.472308,348.156988,4.571936,-31.305625,-0.1239,0.0053,-0.0507,0.005,-0.1342,0.0016,22.03,0.31,20.27,0.03,19.57,0.03,19.354576,0.03,19.380468,0.07,0.15222675,0.03,19.86,20.77,1,0,b'2002_ED129',1,1,0,347.325559,-0.472338,19.16,2.467,1.561,12.24,b'ASTORB_20041008',15.5,0.15,2974.0,53300.5,2.58247153,0.14288671,3.975977,313.309982,328.618967,138.661618,b'ASTDYS_U_20041008',2.58404,0.1149,0.0846
b's05804',1033,2,203,455,821.781,189.067,51464.25129,347.453425,-0.609332,348.221591,4.395946,-31.241373,-0.1854,0.008,-0.0483,0.0093,-0.1901,0.0277,24.42,1.57,21.41,0.07,21.02,0.06,20.69211,0.07,20.422482,0.19,-0.06773433,0.08,21.17,21.77,1,0,b'2003_UG28',1,2,0,347.453379,-0.609295,20.96,2.291,1.38,13.17,b'ASTORB_20041008',17.69,0.15,2482.0,53300.5,2.42099813,0.20164075,4.072316,320.751504,126.980605,56.789151,b'ASTDYS_U_20041008',2.42126,0.2097,0.0819
b's37d05',1033,2,209,80,979.472,1855.57,51464.25382,348.369011,-0.425818,349.138786,4.207814,-30.326689,-0.1483,0.0045,-0.0302,0.0042,-0.1487,0.0301,20.54,0.11,19.58,0.06,18.92,0.28,18.69787,0.23,18.42315,0.09,0.12365327,0.17,19.19,20.06,1,66593,b'1999_RL176',1,1,0,348.368959,-0.425809,18.86,2.255,1.338,13.02,b'ASTORB_20041008',15.7,0.15,2180.0,53300.5,2.20613703,0.13162361,4.539738,328.628033,286.598691,284.409399,b'ASTDYS_N_20041008',2.20589,0.1329,0.0815
b's05800',1033,2,210,115,276.817,1252.74,51464.25402,348.441455,-0.492124,349.179673,4.118476,-30.286,-0.104,0.0042,-0.1366,0.004,-0.1495,-0.0851,20.92,0.13,19.4,0.02,18.93,0.05,18.857243,0.03,18.743446,0.05,-0.11949061,0.03,19.11,19.79,1,40500,b'1999_RE82',1,1,0,348.442601,-0.491996,19.43,3.124,2.223,9.34,b'ASTORB_20041008',14.6,0.15,2249.0,53300.5,3.19403099,0.02591965,17.159561,187.732611,179.395793,308.371633,b'ASTDYS_N_20041008',3.19323,0.0132,0.296
b's05846',1033,2,213,140,323.689,122.527,51464.25528,348.895713,-0.616385,349.550064,3.826516,-29.916853,-0.1766,0.005,-0.0003,0.0042,-0.163,0.0689,22.4,0.43,20.04,0.08,19.11,0.02,18.895084,0.03,18.881598,0.05,0.3531579,0.07,19.5,20.65,1,0,b'1999_RA182',1,1,0,348.895642,-0.616384,18.68,2.314,1.397,12.51,b'ASTORB_20041008',15.39,0.15,3545.0,53300.5,2.40587303,0.03996681,9.884957,348.535436,32.554389,107.443235,b'ASTDYS_U_20041008',2.40609,0.0283,0.1725
b's0578b',1033,2,216,116,1115.96,1119.66,51464.25677,349.431892,-0.506597,350.087564,3.717618,-29.380824,-0.1371,0.0053,-0.0358,0.0042,-0.1405,0.0208,22.02,0.3,20.17,0.03,19.42,0.03,19.265688,0.03,19.248554,0.07,0.15586087,0.03,19.73,20.7,1,0,b'1999_TM59',1,1,0,349.431815,-0.506572,19.37,2.27,1.348,12.55,b'ASTORB_20041008',16.2,0.15,2387.0,53300.5,2.60012018,0.12777591,4.44923,332.766071,36.063047,66.875157,b'ASTDYS_U_20041008',2.60064,0.09,0.0891
b's05790',1033,2,221,155,1059.74,1978.07,51464.25882,350.174286,-0.412015,350.80897,3.513408,-28.661453,-0.1066,0.0048,-0.0666,0.0045,-0.1244,-0.0194,22.2,0.95,20.36,0.03,19.79,0.02,19.544207,0.03,19.519455,0.09,0.047528755,0.03,20.02,20.8,1,0,b'1999_TL52',1,1,0,350.174135,-0.41207,19.25,2.025,1.093,13.76,b'ASTORB_20041008',16.73,0.15,1534.0,53300.5,2.42605342,0.20594932,1.916631,266.656425,53.847009,148.166685,b'ASTDYS_U_20041008',2.4275,0.1726,0.0509
b's05786',1033,2,223,128,189.168,1294.84,51464.25939,350.377926,-0.487206,350.966991,3.364278,-28.503991,-0.0963,0.005,-0.0915,0.0045,-0.1247,-0.0463,22.12,0.37,20.24,0.04,19.59,0.03,19.395884,0.03,19.311726,0.08,0.103954345,0.04,19.85,20.73,1,0,b'1999_UJ36',1,2,0,350.37787,-0.487313,19.66,2.06,1.128,13.45,b'ASTORB_20041008',17.05,0.15,945.0,53300.5,2.39890897,0.29865006,3.212094,219.278951,67.549196,172.852453,b'ASTDYS_U_20041008',2.40023,0.2809,0.0682
b's05785',1033,2,224,245,277.475,872.922,51464.25983,350.537322,-0.533567,351.095558,3.259017,-28.375861,-0.1451,0.0072,-0.092,0.0066,-0.1698,-0.0276,22.18,0.38,21.1,0.06,20.44,0.04,20.226084,0.05,20.42869,0.2,0.12270735,0.06,20.71,21.59,1,0,b'1999_UK36',1,5,0,350.537236,-0.533588,20.16,2.6,1.68,10.57,b'ASTORB_20041008',16.29,0.15,1473.0,53300.5,2.51133843,0.14333422,4.022403,213.05827,37.475633,189.564475,b'ASTDYS_U_20041008',2.51728,0.1713,0.0753
b's05782',1033,2,230,190,798.234,1614.99,51464.26248,351.492785,-0.451806,352.007432,2.95825,-27.466607,-0.1305,0.0045,-0.091,0.0037,-0.156,-0.0322,20.76,0.11,18.98,0.03,18.37,0.02,18.123356,0.02,18.103962,0.03,0.09319667,0.03,18.62,19.45,1,40505,b'1999_RJ84',1,2,0,351.492691,-0.45181,18.68,2.293,1.361,11.64,b'ASTORB_20041008',15.5,0.15,4287.0,53300.5,2.62608562,0.13504686,2.979211,219.687204,166.912154,47.75135,b'ASTDYS_N_20041008',2.62661,0.0888,0.0663
b's13832',1033,2,232,72,540.177,1482.0,51464.26323,351.763807,-0.466388,352.251085,2.838057,-27.223697,-0.1249,0.0042,-0.0769,0.0037,-0.1453,-0.0215,21.15,0.15,19.46,0.03,18.63,0.02,18.375135,0.05,18.459534,0.04,0.27605382,0.04,18.98,20.02,1,59917,b'1999_RC161',1,2,0,351.763823,-0.4664,19.07,2.77,1.845,9.54,b'ASTORB_20041008',14.9,0.15,4921.0,53300.5,3.09970357,0.12935902,3.733468,211.97319,115.583418,357.987789,b'ASTDYS_N_20041008',3.10169,0.1045,0.0772
b's13835',1033,2,233,99,1232.03,1024.39,51464.26385,351.989627,-0.516705,352.438989,2.70279,-27.036413,-0.1743,0.0037,-0.0695,0.0034,-0.1877,0.0049,18.52,0.03,16.68,0.04,15.97,0.02,15.74343,0.02,15.750389,0.02,0.1578083,0.03,16.26,17.19,1,1559,b'Kustaanheimo',1,2,0,351.989487,-0.51669,15.96,2.712,1.786,9.67,b'ASTORB_20041008',11.9,0.15,25135.0,53300.5,2.39029965,0.13389139,3.202453,328.155872,215.727137,307.190783,b'ASTDYS_N_20041008',2.39011,0.1723,0.0658
b's13836',1033,2,233,292,499.747,1226.09,51464.26363,351.90903,-0.494515,352.3736,2.75496,-27.101581,-0.1228,0.0061,-0.1103,0.0058,-0.1565,-0.053,22.98,0.74,20.73,0.05,20.2,0.04,20.129253,0.04,19.911167,0.14,-0.07496706,0.05,20.41,21.15,1,0,b'1999_VZ125',1,2,0,351.908921,-0.494564,20.57,2.86,1.936,9.19,b'ASTORB_20041008',16.24,0.15,1811.0,53300.5,3.16143824,0.10075436,9.193717,192.970147,182.812839,310.382859,b'ASTDYS_U_20041008',3.16634,0.0663,0.1613
b's13837',1033,2,233,331,702.611,316.531,51464.26369,351.931375,-0.594576,352.354663,2.654195,-27.120579,-0.1308,0.0053,-0.0652,0.0048,-0.146,-0.0084,21.85,0.27,20.25,0.07,19.82,0.03,19.816605,0.04,19.631926,0.12,-0.18826976,0.07,19.99,20.62,1,86220,b'1999_TX60',1,2,0,351.931425,-0.594628,19.98,3.129,2.209,8.4,b'ASTORB_20041008',15.2,0.15,4492.0,53300.5,3.14855675,0.13443143,2.73132,223.475374,47.116371,37.659079,b'ASTDYS_N_20041008',3.13931,0.1552,0.0612
b's1383b',1033,2,239,159,357.286,210.2,51464.26607,352.791527,-0.606086,353.141162,2.304211,-26.336438,-0.1443,0.0056,-0.1077,0.0053,-0.1752,-0.0419,21.81,0.28,19.93,0.04,19.52,0.03,19.359373,0.03,19.317675,0.09,-0.13254637,0.04,19.68,20.29,1,44746,b'1999_TE61',1,1,0,352.791477,-0.606153,19.55,2.879,1.951,8.88,b'ASTORB_20041008',15.2,0.15,4546.0,53300.5,2.79444245,0.18405631,7.331269,194.157124,277.630541,298.262801,b'ASTDYS_N_20041008',2.79374,0.1964,0.1368
b's1383f',1033,2,240,75,622.572,706.989,51464.26657,352.970398,-0.551418,353.327222,2.283777,-26.150868,-0.0997,0.0048,-0.1594,0.0045,-0.1547,-0.107,20.64,0.1,19.21,0.04,18.85,0.02,18.697458,0.03,18.527527,0.06,-0.17605405,0.04,18.99,19.56,1,0,b'1999_VU82',1,1,0,352.970279,-0.551532,18.78,2.27,1.332,11.21,b'ASTORB_20041008',15.68,0.15,940.0,53300.5,2.65049005,0.20390936,11.126378,191.217945,119.878795,95.538224,b'ASTDYS_U_20041008',2.65159,0.1693,0.2012
b's13846',1033,2,241,81,805.805,1361.02,51464.26704,353.140251,-0.47943,353.511837,2.282787,-25.966719,-0.1257,0.005,-0.1162,0.0042,-0.1615,-0.057,20.79,0.14,19.07,0.04,18.41,0.03,18.21042,0.02,18.261248,0.05,0.10881203,0.04,18.68,19.55,1,42857,b'1999_RS84',1,2,0,353.140255,-0.479422,18.42,2.124,1.182,11.92,b'ASTORB_20041008',15.7,0.15,4122.0,53300.5,2.29732638,0.18501772,5.250288,199.299016,90.277128,215.666882,b'ASTDYS_N_20041008',2.29775,0.1558,0
